Suburb/Town,Postcode,Clinic,Clinic Phone Number,Referral Contact,HHS
Rollingstone,4816,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Rollingstone Beach,4816,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Roma ,4455,Roma CYMHS, 46242 719,Referral_Roma@health.qld.gov.au,South West
Ropeley,4343,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Rosalie,4064,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Rosedale ,4674,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Rosehill,4370,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Roseneath,4811,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Rosenthal Heights,4370,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Rosevale,4340,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Rosewood,4340,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Ross River,4816,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Rosslea,4812,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Rosslyn,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Rossmoya,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Rothwell,4022,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Round Mountain,4285,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Roundstone,4718,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Rowes Bay,4810,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Rubyanna,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Rubyvale,4702,Emerald CYMHS,49839 750,Fax referral:  49839744,Central Queensland
Runaway Bay,4216,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Runcorn,4113,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Running Creek,4287,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Runnymede,4615,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Rural View,4740,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Rush Creek,4521,Pine Rivers CYMHS,3817 6380,CHQ-CYMHS-PineRivers@health.qld.gov.au,Children's Health
Russell Island,4184,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Rywung,4413,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Sadliers Crossing,4305,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Saibai,4875,Thursday Island CYMHS, 4069 0695,TCHHS-MHATODS-TI@health.qld.gov.au,Torres & Cape
Salisbury,4107,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Samford,4520,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Samsonvale,4520,Pine Rivers CYMHS,3817 6380,CHQ-CYMHS-PineRivers@health.qld.gov.au,Children's Health
Sanctuary Cove,4212,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Sandgate,4017,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Sandringham,4701,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Sandstone Point,4511,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Sandy Creek,4514,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Santa Barbara,4212,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Sapphire,4702,Emerald CYMHS,49839 750,Fax referral:  49839744,Central Queensland
Sarina,4737,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Sarina Beach,4737,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Sarina Range,4737,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Saunders beach,4818,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Scarborough,4020,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Scarness,4655,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Schuster Park,4228,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Scotchy Pocket,4570,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Scottville,4804,Greater Whitsundays CYMHS (Bowen),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Scrub Creek,4313,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Seaforth,4741,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Seisa,4876,NPA (Northern Peninsula Area) CYMHS,4090 4270,TCHHS-MHATODS-NPA@health.qld.gov.au,Torres & Cape
Selene,4630,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Septimus,4754,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Seven Hills,4170,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Seventeen Mile,4344,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Seventeen Mile Rocks,4073,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Seventy Mile,4820,Charters Towers,4787 0342,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Severnlea,4352,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Shailer Park,4128,Logan Central CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Shaw,4818,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Sheldon,4157,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Sherwood,4075,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Shirbourne,4809,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Shoal Point,4750,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Shoalwater,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Shorncliffe,4017,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Shute Harbour,4802,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Silkstone,4304,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Silkwood,4856,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Silky Oak,4854,Tully CYMHS, 4068 4111,CAMHS@health.qld.gov.au,Cairns & Hinterland
Silver Creek,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Silver Ridge,4352,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Silver Spur ,4385,Goondiwindi CYMHS,45782411,sd_cymhs@health.qld.gov.au,Darling Downs
Silverdale,4307,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Silverleaf,4605,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Sinnamon Park,4073,Inala CYMHS,2891 4200,CHQ-CYMHS-Inala@health.qld.gov.au,Children's Health
Skyline,4170,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Slacks Creek,4127,Logan Central CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Slade Point,4740,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Sladevale,4370,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Snipe Island,4184,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Somerset Dam,4312,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Somme,4382,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Sorrento,4217,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
South Brisbane,4101,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
South East Nanango,4615,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
South Gladstone,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
South Innisfail,4860,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
South Isis,4660,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
South Johnstone,4859,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
South Mackay,4740,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
South Maclean,4280,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
South Mission Beach,4852,Tully CYMHS, 4068 4111,CAMHS@health.qld.gov.au,Cairns & Hinterland
South Ripley,4306,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
South Townsville,4810,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
South Trees,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Southern Cross,4820,Charters Towers,4787 0342,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Southport,4215,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Sovereign Islands,4216,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Speewah,4881,Mareeba (Tablelands CYMHS) CYMHS,4092 9171,Fax Referral:  40929170,Cairns & Hinterland
Spicers Gap,4309,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Splinter Creek,4630,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Split Yard Creek,4306,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Spring Creek,4343,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Spring Creek,4420,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Spring Hill,4000,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Spring Mountain,4124,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au ,West Moreton
Spring Mountain,4124,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Springbrook,4213,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Springfield,4300,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Springfield Central,4300,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Springfield Lakes,4300,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Springlands,4804,Greater Whitsundays CYMHS (Bowen),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Springsure,4722,Emerald CYMHS,49839 750,Fax referral:  49839744,Central Queensland
Springwood,4127,Logan Central CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
St George,4487,St George CYMHS,4620 2265,Referral_St_George@health.qld.gov.au,South West
St Helena Island,4025,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
St Helens,4650,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
St Helens Beach,4798,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
St Johns Wood,4060,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
St Lawrence,4707,Moranbah CYMHS, 4941 4680,moranbah_mentalhealth@health.qld.gov.au,Mackay & Whitsundays
St Lucia,4067,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
St Ruth,4405,Dalby CYMHS,4669 0501,wdmh@health.qld.gov.au,Darling Downs
Stafford,4053,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Stafford Heights,4053,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Stanage,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Stanmore,4514,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Stanthorpe,4380,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Stanwell,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Stapylton,4207,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Steiglitz,4207,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Stephens,4227,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Stockleigh,4280,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Stockyard,4344,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Stockyard,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Stone River /Upper Stone,4850,Ingham CYMHS,4720 3035,TSV-MH-ICMH@health.qld.gov.au,Townsville
Stones corner,4120,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Stoney Creek,4514,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Stradbroke Island  ,4183,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Stradbroke Island North,4183,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Strathdickie,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Strathpine,4500,Pine Rivers CYMHS,3817 6380,CHQ-CYMHS-PineRivers@health.qld.gov.au,Children's Health
Stretton,4116,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Stuart,4811,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Sugarloaf,4380,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Sugarloaf,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Summerholm,4341,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Sumner,4074,Inala CYMHS,2891 4200,CHQ-CYMHS-Inala@health.qld.gov.au,Children's Health
Sun Valley,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Sundown,4860,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Sunnybank,4109,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Sunnybank Hills,4109,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Sunnyside,4737,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Sunshine Acres,4655,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Surat,4417,Roma CYMHS, 46242 719,Referral_Roma@health.qld.gov.au,South West
Surfers Paradise,4217,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Susan River,4655,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Suttor,4743,Moranbah CYMHS, 4941 4680,moranbah_mentalhealth@health.qld.gov.au,Mackay & Whitsundays
Svensson Heights,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Swanbank,4306,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Swanfels,4371,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Swans Lagoon,4807,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Taabinga,4610,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Tablelands,4605,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Tabooba,4285,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Tabragalba,4285,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Taigum,4017,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Takura,4655,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Talgai,4362,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Tallai,4213,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Tallai,4213,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Tallebudgera,4228,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Tallebudgera,4228,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Tallegalla,4340,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Talwood,4496,Goondiwindi CYMHS,45782411,sd_cymhs@health.qld.gov.au,Darling Downs
Tam O'Shanter,4852,Tully CYMHS, 4068 4111,CAMHS@health.qld.gov.au,Cairns & Hinterland
Tamaree,4570,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Tambo,4487,Charleville CYMHS,4621 2200,SWHHS-Mental_Health_Services_Charleville@health.qld.gov.au,South West
Tamborine,4270,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Tamborine,4270,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Tamborine Village,4270,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Tamrookum,4285,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Tanah Merah,4128,Logan Central CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Tanby,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Tannum Sands,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Tannymorel,4372,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Tansey,4601,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Tara,4421,Dalby CYMHS,4669 0501,wdmh@health.qld.gov.au,Darling Downs
Tarampa,4311,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Taranganba,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Taringa ,4068,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Tarome,4309,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Taromeo,4314,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Tarong,4615,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Taroom,4420,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Taroomball,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Tarragindi,4121,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Tarramba,4702,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Tarzali,4885,Atherton (Tablelands CYMHS) ,4091 0213,Fax Referral:  40910209,Cairns & Hinterland
Taylors Beach,4850,Ingham CYMHS,4720 3035,TSV-MH-ICMH@health.qld.gov.au,Townsville
Te Kowai,4740,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Teddington,4650,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Teelba,4423,Roma CYMHS, 46242 719,Referral_Roma@health.qld.gov.au,South West
Telemon,4285,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Telina,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Tellebang,4630,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Templin,4310,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Teneriffe,4005,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Tennyson,4105,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Tenthill,4343,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Teviot Brook,4280,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Teviotville,4309,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Texas ,4385,Goondiwindi CYMHS,45782411,sd_cymhs@health.qld.gov.au,Darling Downs
Thabeban,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Thagoona,4306,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Thallon,4497,St George CYMHS,4620 2265,Referral_St_George@health.qld.gov.au,South West
Thane,4370,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Thangool,4716,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Thargomindah,4482,Charleville CYMHS,4621 2200,SWHHS-Mental_Health_Services_Charleville@health.qld.gov.au,South West
The Bluff,4340,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
The Caves,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
The Common,4701,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
The Dimonds,4650,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
The Falls,4373,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
The Gap,4061,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
The Gums ,4406,Dalby CYMHS,4669 0501,wdmh@health.qld.gov.au,Darling Downs
The Keppels,4700,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
The Mine,4714,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
The Palms,4570,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
The Percy Group,4707,Moranbah CYMHS, 4941 4680,moranbah_mentalhealth@health.qld.gov.au,Mackay & Whitsundays
The Range,4700,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
The Summit,4377,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Theebine,4570,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Theodore,4719,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Thompson Point,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Thoopara,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Thorndale,4380,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Thorneside,4158,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Thornlands,4164,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Thornton,4341,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Three Moon,4630,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
